"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"Zio’s Italian Kitchen","Zio’s is a full-service concept offering large portions of comfort Italian food at affordable prices. Most outlets are situated in suburban retail areas and appeal to families. Each is about 7,400 square feet and can seat 240 customers. Units feature open kitchens where guests can view their wood-fired pizzas and fresh pastas being prepared. The restaurant menu includes hearty dishes like baked pastas, brick-oven pizzas, grilled salmon, baked cheese, Italian cream cake and tiramisu. A gluten-free menu with entrees, salads and appetizers is also available. Mazzio’s Corporation founder, Ken Selby, started Zio’s in 1994. Mazzio’s also runs the limited-service Mazzio’s Italian Eatery chain. ","San Antonio, Texas",4.8e+07,-4,16,6.7,3100000,2010,NA
"Brick House Tavern + Tap","Leather recliners, HD TV and plenty of beer. Sound like the ultimate man-cave? Add handcrafted American food, trend-forward design and a bevy of smiling waitresses and you’ve got the ultimate neighborhood watering hole, a.k.a. Brick House Tavern + Tap.","Houston, Texas",3.4e+07,209.1,14,180,3600000,2011,NA
"Menchie’s Frozen Yogurt","The number-one contender in last year’s Future 50, Menchie’s says it is on track to open its 200th store by August 2012. With its international presence established in Canada, the company has begun development in Mexico, Japan, Dubai, Australia and Saudi Arabia. Menchie’s Frozen Yogurt is a self-service, customizable experience where guests dispense their own yogurt from a choice of 12 to 14 flavors featured daily and select their own toppings. The stores are approximately 1,400 square feet, and the company sets itself apart by offering private party rooms for birthday parties, chalk boards for kids and indoor and outdoor patio seating.","Encino, Calif.",4.8e+07,88.7,64,100,750000,2011,NA
"American Deli","In 1989, American Deli launched its first store in Atlanta’s South DeKalb Mall. The classic American menu—featuring items such as Buffalo wings with bleu cheese, New York-style Reuben sandwiches and golden chicken fingers—and casual dining atmosphere quickly attracted a loyal following. Now, two decades later, there are over 60 American Deli locations throughout the Southeast.","Riverdale, Ga.",2.6e+07,73.3,55,27.9,530000,2011,NA
"Anthony’s Coal Fired Pizza","In 2002, Anthony Bruno brought the Old World art of coal-fired cooking to southern Florida with the launch of Anthony’s Coal Fired Pizza. The menu boasts a range of Italian-inspired pizzas cooked in an 800-degree coal-fired oven—and feature toppings such as broccoli rabe and sausage—as well as “Italian soul food” offerings including meatballs with ricotta cheese. The quickly growing chain now has locations throughout Florida as well as Delaware, Pennsylvania, New York and New Jersey. ","Pompano Beach, Fla.",3.7e+07,64.4,26,23.8,1600000,2011,NA
"Lazy Dog Café","In the summer of 2003, Chris Simms and Roshan Mendis opened Lazy Dog Café, a rustic eatery inspired by Simms’ Wyoming lodge vacations, in Orange County, California. The café was a hit, and today the pair have eight locations throughout California. Lazy Dog Café is known for its large portions and a wide-ranging cuisine—from classic comfort food like pot roast to beach fare such as seared ahi tuna tacos. For Simms, entrepreneurship runs in the family: his father, Tom Simms, is the proprietor of Mimi’s Café, a chain with locations in 24 states.","Westwinster, Calif.",25500000,55.5,7,40,4300000,2011,NA
"Crumbs Bake Shop","Crumbs Bake Shop’s famous cupcakes have put them at the forefront of the recent cupcake craze. Mia and Jason Bauer opened their first bakery in 2003 on the Upper West Side of Manhattan. The shop gained notoriety for its rotating selection of more than 50 cupcake varieties, including unique concoctions like S’mores and Cookie Dough. Crumbs Bake Shop now has 31 locations scattered across the east and west coasts. The chain recently launched an IPO that raised $66 million that the Bauers hope will help Crumbs reach 200 locations by the end of 2014. ","New York, N.Y.",3.1e+07,55,31,24,1e+06,2011,NA
"The Habit Burger Grill","In 1969, 16 year-old Brent Reichard fell in love with the burger joint he worked for in Santa Barbara, California. Four years later, Reichard and his brother Bruce bought the business with money borrowed from their mother, and The Habit Burger Grill was born. Today, the quickly expanding chain can be found across California and Arizona. The restaurants incorporate green features such as rain-collecting cylinders to recycle water, renewable construction materials and eco-friendly painting supplies. In addition to new restaurants, the business this year launched a mobile food truck in Orange County, California. ","Irvine, Calif.",41800000,49.3,33,26.9,1300000,2011,NA
"Zoës Kitchen","Zoës Kitchen’s Mediterranean-inspired comfort food is always made from scratch, always fresh and always healthy, with dishes like Greek chicken pitas and chicken orzo soup. In addition to a sit-down restaurant, Zoës Kitchen’s take-out options range from single-serving to family-sized portions to provide quality, wholesome food on the go. Since its launch six years ago, the chain has grown to 43 locations across the country, with several more in the works. ","Birmingham, Ala.",28500000,46.2,43,38.7,770000,2011,NA
"The Chop House","The Chop House, a steak and seafood restaurant chain, is one of the newer projects of all-star restaurateur Mike Connor. Connor has been in the chain restaurant business since 1973, and started The Chop House in 1992. The Chop House is known for its casual setting and decadent cuisine, from slow-roasted, fork-tender prime ribs to fresh seafood delivered five days a week. Today there are a dozen Chop House locations in Tennessee, Kentucky, Georgia and Ohio. ","Knoxville, Tenn.",42500000,46,15,35.4,2830000,2011,NA
"Happy’s Pizza","Happy’s Pizza debuted in Detroit, Michigan, in 1994. Additional locations followed throughout the state, eventually entering the Ohio and Illinois markets, expanding through franchising in Florida, Kentucky, Texas, California and Nevada. The restaurant is a limited-service chain with a menu that goes beyond pizzas to include everything from barbecue ribs and fried chicken to seafood, burgers, hot dogs, wraps and sandwiches. The chain does particularly well with families with small children and with college-age young adults. Happy’s Pizza LLC is the privately held parent company.","Farmington Hills, Mich.",34500000,38,65,25,590000,2011,NA
"Rib City Grill","In 1989, father-and-son team Paul and Craig Peden opened the first Rib City Grill in Fort Myers, Florida. Twenty-two years later, their award-winning baby back ribs can be enjoyed in 12 Rib City corporate-owned restaurants in Florida and more than a dozen franchises across the U.S. and Canada. “We’re still a family-owned operation,” says Craig Peden, Rib City Grill’s president, “and each new franchise is as important as the first.” Rib City’s menu has stayed true to its Southern roots with items such as traditional barbequed chicken, pork and beef smoked slowly over a hardwood fire.","Fort Myers, Fla.",33900000,37.3,28,40,1400000,2011,NA
"Freddy’s Frozen Custard & Steakburgers","Bill Simon’s inspiration for his restaurant’s signature “steakburger,” 1950’s theme and patriotic décor is his father, a World War II veteran who grilled premium-grade burgers for his sons while they were growing up. Founded in Wichita, Kansas, in 2002, the chain now has more than 40 locations across Kansas and nine other states. Freddy’s selection of frozen custards boosts business during summer months, but the steakburgers keep customers coming in all year long.","Wichita, Kan.",3.1e+07,31.9,46,27.8,745000,2011,NA
"Loving Hut","The Loving Hut is a vegan, environmentally conscious franchise with 38 branches in the United States, and more than 120 locations worldwide in countries including Japan, Indonesia and Mongolia. Every franchise location is encouraged to design its own unique regional menu, with items like toast topped with vegan cheese, vegan mayonnaise and soy “ham.”","Alhambra, Calif.",25500000,27.5,38,26.7,750000,2011,NA
"Pret A Manger","Pret A Manger, French for “ready to eat,” defines this grab-and-go concept, offering an array of sandwiches, soups, salads and breakfast items in an automat-like setting. The look is clean and modern with stainless-steel display cases holding food that is designed to be eaten on the move. The food is made fresh daily in each location and is preservative- and additive-free. Menu items include Niman Ranch ham and sharp New York cheddar sandwich, spicy shrimp and cilantro wrap and a Murray’s chicken and smoked mozzarella baguette. Pret originated in the U.K. 25 years ago, and its 35-plus U.S. outlets focus on staff promotion from within. All unsold food is donated to local charities at the end of the day. The chain has no plans to franchise. McDonald’s sold its minority stake in Pret in 2008 to private equity firm Bridgepoint Capital.","New York, N.Y.",35750000,23.3,31,29.2,1300000,2011,NA
"Capriotti’s Sandwich Shop ","Capriotti’s Sandwich Shop, “Simply the Best Since 1976,” is an emerging chain of limited-service sub sandwich shops. The quickservice concept offers a variety of signature hot and cold subs made on freshly baked rolls. The chain is privately held. Sandwich shops may inhabit all types of sites, but the chain is currently targeting high-traffic, high-visibility neighborhood retail centers or anchored retail centers from 1,400 to 1,800 square feet. Seating capacity ranges from 20 to 50. Nontraditional locations such as airports, hotels, convention centers and malls range from 650 to 1,200 square feet with limited or no seating. Takeout and catering services are available. Lois Margolet and her brother Alan opened their first restaurant in 1976 in Wilmington, Delaware. The sandwich shop was named Capriotti’s in honor of their grandfather, Philip Capriotti. Initially known for their fresh-roasted turkey, the concept eventually expanded its menu and added stores in the area.","Las Vegas, Nev.",39360000,23,65,16.1,650000,2011,NA
"The Rock Wood Fired Pizza and Spirits","The Rock Wood Fired Pizza and Spirits launched its first pizza joint in Tacoma, Washington 15 years ago and has since opened 10 more restaurants in the U.S. and Canada. The chain appeals to families and the college crowd alike, with menu attractions including wood-fired gourmet pizza and “rocktails”—specialty cocktails served in buckets.","Sumner, Wash.",4.9e+07,19.8,11,10,2500000,2011,NA
"The Counter ","The Counter is an emerging chain of premium burger joints. The limited-service concept was founded with the goal of recreating the classic ’50s burger restaurant with a modern and chic twist. The Counter’s list of burger toppings is so long that the chain boasts some 312,120-plus burger configurations. The company prefers endcaps in upscale retail centers with heavy foot traffic and proximity to shopping and entertainment. Restaurants range from 2,700 to 3,000 square feet with seating for 110. Interior décor is modern and glossy, with brushed aluminum counters and seating. Jeff Weinstein, a former restaurant/bar/lounge owner, developed The Counter and opened its first location in 2003 in Santa Monica, California. A second location debuted in Palo Alto, California, in 2006, after which Weinstein launched a franchising program. The Counter currently has two international locations with additional restaurants slated to open this year in Dubai and Saudi Arabia.","Culver City, Calif.",4.9e+07,19.5,26,18.2,2050000,2011,NA
"Hurricane Grill & Wings","Hurricane Grill & Wings first blew open its doors in April 1995 at the original location overlooking the ocean in Ft. Pierce, Florida. Hurricane Grill & Wings is a casual-dining, island-themed concept with an eco-friendly focus. The menu features wings flavored with 30-plus sauces as well as steaks, burgers and fish dishes. Hurricane Grill and Wings now has 45 locations open in seven states, with signed commitments for over 400 more in 25 states.","West Palm Beach, Fla.",4.7e+07,18.2,40,25,1290000,2011,NA
"221B Baker Street Pub & Grill ","Named and styled after Sherlock Holmes’ famous home, 221B Baker Street Pub & Grill is a traditional English pub concept recognized for its laid-back atmosphere, generous meal portions, live music and large selection of imported ales. Hospitality USA Investment Group is the parent company. The company operates mostly freestanding units with seating for at least 250. Additional outdoor seating is also offered at most locations. The concept was launched in 2000 as an offshoot of Hospitality USA’s Sherlock’s Baker St. Pub, their first concept. Well-recognized English dishes such as fish & chips and shepherd’s pie are menued.","Houston, Texas",39600000,18.2,13,18.2,3300000,2011,NA
"Ocean Prime","For a contemporary American supper club experience that combines the best of both land and sea, diners head to this retro full-service restaurant. The broad menu focuses on steaks, fresh fish and other seafood specialties including a raw bar, but also features chicken, salads and a lighter lunch menu. Restaurants are typically freestanding units with seating for 400 and many offer outdoor patios with fireplaces. In 2006, the Cameron Mitchell Restaurant group opened the first location called Mitchell’s Ocean Club in its hometown of Columbus. The second location, and the first location to be named Ocean Prime, opened in 2008 in Troy, Michigan. There are Ocean Prime locations in Columbus, Dallas, Denver, Detroit, Tampa, Orlando and Phoenix. A new unit is slated to open this November in Atlanta. Other cities of interest include Houston, Indianapolis, Washington D.C. and New York City.","Columbus, Ohio",41020000,17.2,7,16.7,5860000,2011,NA
"Taco Mac","The name of this family-friendly sports bar is a bit misleading: Buffalo-style chicken wings—not tacos—are the main attraction. The cooked-to-order wings are available both bone-in and boneless in seven flavors: Mild, Medium, Hot, Three Mile Island, Death, Lemon Pepper and Habanero BBQ. Taco Mac claims to have one of the biggest beer selections in the South, with as many as 140 different beers on tap and about 250 varieties in bottles at any one time. Several stores now have beer taps at the table, enabling customers to pour their own beer and pay by the ounce. The chain performs especially well with young adults over 21 and families with young children. The Tappan Street Restaurant Group operates the concept.","Alpharetta, Ga.",3.9e+07,16.9,28,16.7,1500000,2011,NA
"Fuzzy’s Taco Shop","Fuzzy’s Taco Shop opened in 2003 in Fort Worth and quickly built a cult following among the college crowd before going mainstream. The Baja-inspired chain specializes in seafood, and—rare among Mexican chains—opens at 7 a.m. to offer breakfast specials like huevos rancheros and migas. The chain also sells stickers and apparel featuring its mascot, Fuzzy the Shark, as well as its own “butt-burning” hot sauce.","Fort Worth, Texas",3.5e+07,16.7,31,24,1500000,2011,NA
"Weathervane Seafood Restaurants","Ray and Bea Gagner opened their first seafood shack on the coast of Maine in 1969. Since then, the family business has grown to 17 restaurants in Maine, Massachusetts and New Hampshire, featuring fresh lobster, fish and seafood specialties such as fried lobster ravioli. Weathervane recently opened Lobster in the Rough, a seasonal restaurant on Maine’s Badger Island. The newest location serves fresh lobster, a fresh catch of the day and other specials from a waterfront deck. ","Kittery, Maine",30200000,16.3,17,21.4,2e+06,2011,NA
"Roosters","Though you can’t drive a mile without bumping into a chicken wing joint these days, husband-and-wife team Bob and Corrine Frick were pioneers when they launched Roosters in 1988. Since then, they’ve expanded to 23 locations in Ohio and neighboring states, and the menu now includes items such as pizzas and subs, in addition to Roosters’ trademark jumbo wings served with a choice of nine homemade sauces. Along with good food and an inviting atmosphere, the chain’s affordability—entrées are priced at $6 or less—has helped Roosters soar despite the difficult economy. ","Dublin, Ohio",30750000,16,23,15,1400000,2011,NA
"Happy Joe’s Pizza and Ice Cream Parlor","“Happy” Joe Whitty founded his first pizza and ice cream parlor in 1972. Since then, Happy Joe’s has grown to 71 locations throughout Iowa and the Midwest, expanding its menu offerings into sandwiches, pastas and other specialties. The restaurant caters especially towards families and children—Happy Joe’s is a popular spot for kids’ birthday parties. ","Bettendorf, Iowa",47200000,15.1,71,20.3,725000,2011,NA
"Larry’s Giant Subs","Over 25 years, founder Larry Raikes and his brother Mitch have built Larry’s Giant Subs from a tiny, carryout shop to a chain of franchises with 88 locations throughout the Southern states. Using select ingredients—USDA choice roast beef, award-winning bread from Constanzo’s Bakery and cheesecake from the Carnegie Deli—the Raikes brothers bring the flavor of the New York sandwich shop to the South.","Jacksonville, Fla.",35600000,14.8,88,17.3,435000,2011,NA
"The Egg & I Restaurants","The Egg & I Restaurants are full service, specializing in fresh breakfast and lunch fare. It offers a traditional assortment of specialty omelets, waffles and French toast along with a variety of sandwiches, salads and soups served up in a polished-casual environment. The restaurants are typically located at the end cap of suburban strip centers.  The Egg & I has an upscale décor that includes tables and booths, colorful contemporary light fixtures and vibrantly colored art. Rayno and Patty Seaser opened the first Egg & I Restaurant in 1987 in Ft. Collins, Colorado. In 2005, Bill Baumhauer and Don Lamb, the CEO and COO respectively of E & I Holdings Inc., purchased the concept.","Lone Tree, Colo.",4.2e+07,14.4,42,10.5,1e+06,2011,NA
"El Fenix","El Fenix has been around since 1918, when Mexican immigrant Miguel Martinez pioneered the Tex-Mex craze by serving an American twist on traditional Mexican cuisine at his one-man shop in Dallas. El Fenix now has 19 locations throughout Texas that serve up favorite items such as fajitas and chalupas alongside American classics such as chicken-fried steak. ","Dallas, Texas",4e+07,14.3,19,18.8,2300000,2011,NA
"Snappy Tomato Pizza","Founded in Fort Mitchell, Kentucky, in 1973, Snappy Tomato Pizza began franchising in 1993, and has since expanded across the U.S., with more than 70 locations in Kentucky, Indiana, Ohio, Tennessee, Florida, Missouri and New Mexico. The chain distinguishes itself with fresh-made pizza dough and sauce made from premium-quality tomatoes. Along with pizza, Snappy Tomato offers a wide variety of freshly baked hoagies, salads and pastas made to order. In addition to delivery, takeout and eat-in dining, many locations also serve all-you-can-eat buffets. ","Burlington, Ky.",27300000,13.8,75,15.4,390000,2011,NA
"Showmars Restaurants","Showmars offers up fast, made-to-order food in a family-friendly atmosphere. It presents a fusion of Greek, Southern and American items to cater to a wide customer base. Signature dishes include pita burgers, “world’s best flounder dinner” and fresh salads, including Greek and grilled chicken chef. Gyros and chicken pitas are also crowd favorites. The privately held Showmars Restaurants made its reputation by offering value, consistent quality, wide selection and great customer service. ","Charlotte, N.C.",31700000,13.2,34,9.7,975000,2011,NA
"Pizza Patrón","This chain of pizza parlors offering traditional American-style pizzas as well as some Latin toppings and flavors, has a strong connection to the Hispanic market. The concept’s tagline is “Más Pizza. Menos Dinero.” Most outlets are located in Hispanic neighborhoods and the company is dedicated to “celebrating the diversity of the Latin culture and lifestyle.” The restaurants offer made-from-scratch pizzas in two sizes with 14 different toppings, including chorizo and jalapeños. Each unit is equipped with fast-bake oven technology, allowing pizzas to be fully cooked in just over three minutes. The chain expanded into Atlanta and plans to continue opening units in that region. The newest prototype is a Quick-Service Pizza (QSP™) platform—a high-visibility takeout-only store. The company’s fourth QSP™ unit opened recently in Houston.","Dallas, Texas",4.3e+07,13.2,100,5.3,440000,2011,NA
"Alonti Market Café","Cecil and Al Pepi opened the first Alonti Market Café in Houston in 1974, and their sandwich counter rapidly expanded into a booming business catering service. Beautifully presented fresh meals are Alonti’s specialty, whether it’s a hot breakfast, hors d’oeuvres, premium entrée or the ever-popular sandwich. With 33 locations in Houston, Chicago, Dallas, Austin and Fort Worth, Alonti serves offices in these cities fast: online ordering is available, and Alonti offers a three-hour delivery guarantee.","Houston, Texas",29400000,13.1,33,17.9,965000,2011,NA
"Cadillac Ranch All American Bar & Grill","The 13 locations of Cadillac Ranch span across the U.S. in select cities, including Las Vegas, Miami and Nashville. The chain serves All-American cuisine from jumbo Angus burgers to Philly cheesesteaks and locations feature rock-and-roll as background music. Cadillac Ranch also offers special event services, and all units have full-service bars and outdoor patios for grilling.","Annapolis, Md.",4.5e+07,12.5,13,30,3900000,2011,NA
"Extreme Pizza","Extreme Pizza is a limited-service concept that uses extreme sports as both a central design scheme and a menu focus. With fresh ingredients, exotic toppings and handmade dough, Extreme Pizza takes an innovative approach in creating freshly baked, handcrafted gourmet pizzas, in styles as diverse as Mexican, Mediterranean and Middle Eastern. Dough and vegetables are prepared daily, and Extreme offers wheat crust and gluten-free pies. The stores buzz with lively music, flat screen TVs with diverse programming and walls adorned with athletes performing twisted moves, attracting a primarily younger clientele. Units are designed to operate as both freestanding and inline models, ranging in size from 2,000 to 5,000 square feet with seating for 40 to 100 patrons. All restaurants offer in-store dining and take-out and delivery within a two- to three-mile radius. Todd Parent founded Extreme Pizza in San Francisco in 1994. ","San Francisco, Calif.",41600000,12.4,46,7,935000,2011,NA
"Carolina Ale House","Carolina Ale House is a group of community-oriented sports bars, owned by Raleigh-based LM Restaurants. The family-friendly, sports-themed concept has expanded throughout North and South Carolina and into Georgia and Florida. President and owner of LM Restaurants, Lou Moshakos,  recently announced plans to open six more Carolina Ale Houses over the next 12 months.","Raleigh, N.C.",48100000,11.9,14,27.3,3850000,2011,NA
"Stevi B’s The Ultimate Pizza Buffet","Stevi B’s Pizza offers 16 specialty pizzas such as Mac and Cheese and Loaded Baked Potato, in addition to the more traditional pizzas, dessert pizzas, salad and pasta. Restaurants seat 144 to 220 patrons and have a game room and party room, making it a family-friendly atmosphere. Purchased in 2008 by Argonne Capital, an IHOP franchisee, Stevi B’s implemented a marketing rebranding campaign, redesigned its prototype and streamlined operations for franchisees. “Despite a continued tight financing market, we are pleased with our 20 percent annual growth rate,” said Melissa McFarlin, director of Franchise Sales and Development.","Marietta, Ga.",35200000,11.7,41,17.1,925000,2011,NA
"Amato’s Pizza","Amato’s Pizza was founded in 1902 by immigrant Giovanni Amato who got his start selling fresh sandwiches to fellow dockworkers. After more than a century, the most popular sandwich on the menu is still “Amato’s Original,” made with ham, cheese and veggies, but the menu now includes wraps, focaccia and hot sandwiches, pasta dishes and the eponymous pizza with over 20 different toppings. The chain has expanded beyond its Maine base into New Hampshire, Vermont and upstate New York.","Portland, Maine",2.9e+07,9.4,42,23.5,765000,2011,NA
"J. Christopher’s","J. Christopher’s specializes in breakfast and lunch, boasting entrees such as its trademark “blueberry crunchcakes” (pancakes made with granola) and the pimento cheeseburger. Each location was designed to have a neighborhood vibe, with regional menu specialties and décor featuring local art. The chain’s 23 locations are spread throughout Georgia and Tennessee, with franchising opportunities centered in the Southeast.","Atlanta, Ga.",32300000,9.3,23,15,1500000,2011,NA
"Scooter’s Coffeehouse","Scooter’s Coffeehouse is an Omaha-based specialty coffee franchise, founded in 1998, with nearly 90 locations in seven states. Scooter’s serves specialty lattes, espresso, coffee, blended fruit and espresso smoothies, loose leaf teas and pastries. Store models are focused on commuter-friendly drive-thru service. Scooter’s is actively seeking multi-unit franchise owners for expansion in territories including Chicago, Cincinnati, Denver, Indianapolis, Minneapolis/St. Paul, St. Louis and Tulsa/Oklahoma City.","Omaha, Neb.",42600000,9.2,89,4.7,490000,2011,NA
"Margaritas Mexican Restaurant","John Pelletier opened his first Margaritas Mexican Restaurant in Concord, New Hampshire, in 1985. By 1988, John’s brother Dave had joined the venture with the addition of two more locations. Seeking to create a more unique and authentic Mexican experience, the two brothers took their first trip to Mexico in 1989 to study the food and culture, honing the concept into what it is today; a full-service, casual-dining restaurant specializing in freshly prepared Mexican-inspired fare served up in a lively, family-friendly environment. With a vibrant atmosphere, the concept immerses guests in the colorful culture of Mexico through photos, artwork and interior design. Units vary significantly in layout and décor, but all feature substantial collections of Mexican furniture and décor throughout the dining room and lounge. Every month, all Margaritas restaurants hold Full Moon Madness events, with a portion of the proceeds going to local charities; to date, the company has donated over a half a million dollars. Each year the company also hosts visiting Mexican artists, taking them on tour to present their craftwork for restaurant guests and to provide interactive lectures at elementary schools.  ","Portsmouth, N.H.",47750000,8.7,22,15.8,2330000,2011,NA
"Twin Peaks","With a ski lodge theme and its “Twin Peaks Girls” servers, Twin Peaks quickly expanded from its original Dallas location (founded in 2005). The restaurant’s locations can now be found in five states—Texas, Oklahoma, Kansas, Nebraska and New Mexico. Twin Peaks dubs itself the “ultimate man cave,” boasting that its beers are served at a frosty 29 degrees, its TVs are always tuned to the big game, portions are generous and the servers are ever-attentive.","Addison, Texas",32500000,8.3,12,20,3e+06,2011,NA
"Montana Mike’s Steakhouse","Montana Mike’s stretches from Texas all the way up to North Dakota, with 29 units in eight states. Steak is the specialty, from porterhouse and sirloin to filet mignon. The largest weighs in at a hefty 44 oz. All Montana Mike’s locations have a log cabin ambiance, and woodcarvings and game mounts abound.","Taylor, Texas",4.1e+07,6.7,29,16,150000,2011,NA
"Tommy Bahama","Palm trees and lilting music evoke the islands at Tommy Bahama restaurants, geared for the well-heeled resort crowd with its signature cocktails and seafood items. The chain, part of the larger clothing retailer, shoots to be a lifestyle brand associated with “relaxation” and “enjoying life.” So, you can be wearing Tommy Bahama, while watching the Tommy Bahama yacht race on TV, while eating Tommy’s World Famous Coconut Shrimp at a Tommy Bahama’s restaurant.","Seattle, Wash.",40600000,5.7,13,8.3,3300000,2011,NA
"Gyu-Kaku","At Gyu-Kaku, the customer is the chef—literally. The Japan-based franchise, which has locations in New York, Chicago and L.A., features tapas-style Japanese cuisine prepared on table-mounted grills by the customers themselves. Founded in 1996, the company grew rapidly in Japan, beating both McDonald’s and Starbucks as the first to reach 500 units in that country. Gyu-Kaku’s growth in the U.S., however, has not been as prolific. “I would say close to 90 percent of the public knows about our brand in Japan,” speculates VP Aki Yamaguchi. “Here that number is probably around 0.9 percent or less.” With locations in Hawaii, Chicago, New York City and numerous neighborhoods around L.A., the chain’s national visibility is on the rise.","Gardena, Calif.",31500000,5.7,13,8.3,2500000,2011,NA
"Rosa’s Café","At Rosa’s Café, fresh ingredients aren’t just a premium, they’re a point of pride. In fact, none of the fast-casual, Mexican restaurant’s 31 locations, spanning most of west Texas, even have a freezer. “Everything is prepared fresh daily,” says VP of Operations Carlos Hernandez. “It’s what helps give Rosa’s its authentic flavor profile.” Homemade tortillas, seared fajitas and a salsa bar featuring more than a half-dozen varieties have drawn a loyal following since 1988. As Rosa’s continues to expand throughout the state, Hernandez says the chain has had to employ dedicated property-scouting teams to find locations large enough to accommodate the 280-seat restaurants. Maybe everything is bigger (and fresher) in Texas. ","Fort Worth, Texas",43800000,4.3,31,10.7,1500000,2011,NA
"Taquerias Arandas ","Hailing from a small village in Mexico, Jose Camarena came to Texas in 1981, a man on a mission: to sell low-priced, fast and authentic Mexican food from a taco truck on the streets of Houston. He launched his first restaurant with just $5,500 in savings, plus the proceeds from selling his pickup truck. Thirty years later, Taquerias Arandas satisfies customers craving “real deal” Mexican—tacos, burritos, enchiladas and “to-die-for tortillas”—at 38 franchised locations across Texas.","Houston, Texas",32500000,3.5,38,40.7,1e+06,2011,NA
"Z’Tejas Southwestern Grill","Founded 21 years ago on Austin’s historic 6th Street, Z’Tejas Southwestern Grill brings a robust, Southern-inspired menu to locations from Texas to California. Featuring countertops of recycled wood and detailing of rusted steel, the restaurant’s rural American architecture reflects the food’s signature flavors from Mexico to the Louisiana bayou. Now in 11 locations, the company plans to nearly double that number by 2015. “We have the desire and the capital to expand,” says Director of Marketing Deborah Topcik. “We’re just waiting for developers to catch up to us.” ","Scottsdale, Ariz.",35700000,3.5,11,10,3400000,2011,NA
"Shane’s Rib Shack","Shane Thompson hung on to his grandfather’s advice: “Do what you love, and do it better than anyone else.” Thompson’s restaurant, Shane’s Rib Shack, has been racking up multiple “Best BBQ” accolades since 2002, thanks to its signature hickory-smoked ribs, hand-chopped pork and a variety of Southern sides. Thompson says the chain’s continued growth strategy involves targeting multi-unit operators, because of their resources and access to capital. Shane’s also plans to work toward developing a specialized lending program to provide franchisees with easier access to financing.","Atlanta, Ga.",48300000,0.5,68,9.7,740000,2011,NA
"Wings to Go","Wings to Go offers 20 sauces, from Caribbean Jerk to traditional Buffalo, all ranging in spiciness from mild to “homicide,” to go with such menu items as Buffalo wings, chicken tenders and Buffalo shrimp. Since its start selling wings at Dover Air Base in 1989, the chain has grown to nearly 80 locations throughout the country, including a mix of sit-down and take-out restaurants. ","Severna Park, Md.",44800000,-0.4,77,10,610000,2011,NA
"Big Apple Bagels","With 20 varieties of bagels made daily from scratch, cake-like muffins and coffee, Big Apple Bagels offer customers casual but comfortable dining in over 100 locations throughout the country. Choices from traditional cream cheese and lox to deli sandwiches like turkey and havarti and “Kick-N Roast Beef” keep traffic moving at Big Apple Bagels from breakfast through lunch. While growth of new franchises was slow through the recession, Director of Development Tony Cervini says it’s back on the rise. Seven new units are in the pipeline, thanks to the work of franchising development agents and the company’s decision to limit the size of new locations in order to reduce initial investment costs.","Deerfield, Ill.",37500000,-1.3,103,12,380000,2011,NA
"Orange Leaf Frozen Yogurt","Orange Leaf Frozen Yogurt is a quickservice frozen-dessert concept. The chain offers both decadent dessert flavors of frozen yogurt as well as more healthful fruit-based flavors. In addition, Orange Leaf boasts a family-friendly atmosphere. Orange Leaf Frozen Yogurt is a privately held company. Units are primarily inline structures and range in size from 2,000 to 2,500 square feet. Locations are decorated with a vibrant orange, green and white color palette designed to create a visually uplifting ambience. Modern plastic chairs and tables are scattered throughout the wooden floors, and a few bar stools at a small counter are also available. Other design elements include pictures of customers enjoying frozen yogurt, green hanging lamps and orange tiling around the self-serve frozen-yogurt machines. All restaurants are strictly counter-service operations. Guests help themselves to the frozen yogurt and toppings bar, then pay by the weight of their dessert. Orange Leaf Frozen Yogurt was purchased by CEO Reese Travis in mid-2010. At the time the company only had 15 units, but has since grown to over 115 locations, including two in Australia. The chain primarily operates in the Midwest and Eastern U.S.","Oklahoma City, Okla.",46500000,210,114,NA,550000,2012,NA
"Shake Shack","Restaurateur Danny Meyer founded Shake Shack in 2004 in New York City’s Madison Square Park. The quickservice chain serves hamburgers, hot dogs, fries and frozen custard. The concept prides itself on being a modern-day roadside burger stand, featuring local ingredients in classic American preparations. Units operate in multiple milieus, including a park location and a baseball stadium, freestanding or inline in both settings. Units are small, offering limited indoor seating at small tables and benches. Some units offer outdoor patio seating only. Décor differs from unit to unit, but some feature wooden paneling, handmade tables constructed from old bowling alley lanes and wooden benches made out of recycled materials. Each unit maintains the chain’s original sleek silver signage. Shake Shack is open for lunch, dinner and snacks daily. ","New York, N.Y.",33500000,86.1,11,NA,3700000,2012,NA
